cov,site_sys,respvar,cc,no,contrast,est_diff,diff_se,diff_pval
none,Central_grain,bd,1.4218820143884858,1.373956834532371,cc - no,0.04792517985611478,0.04390013596726206,0.29470968592352736
none,Central_silage,bd,1.4641151079136687,1.4358103891475755,cc - no,0.028304718766093164,0.048318497001413274,0.5672696348503745
none,East_grain,bd,1.4374100719424452,1.4877697841726616,cc - no,-0.05035971223021641,0.04908184412214067,0.32351221889974024
none,West_grain,bd,1.5733093525179853,1.471870503597122,cc - no,0.1014388489208633,0.04908184412214068,0.059191151530986086
sand,Central_grain,bd,1.3085051619011596,1.2753430145692188,cc - no,0.033162147331940776,0.041783321363180886,0.43457191973496756
sand,Central_silage,bd,1.3953106166025988,1.3856637507898537,cc - no,0.009646865812745088,0.04435209618336193,0.8295116256461992
sand,East_grain,bd,1.6534687906012198,1.7517750334051496,cc - no,-0.09830624280393005,0.047292979294258616,0.04765589235504223
sand,West_grain,bd,1.4929202129423194,1.4730654475389366,cc - no,0.019854765403382605,0.048512033923923295,0.6856899252059333
