cov,site_sys,respvar,cc,no,contrast,est_diff,diff_se,diff_pval
none,Central_grain,om,2.3599999999999826,2.4799999999999924,cc - no,-0.12000000000000989,0.22693549410724723,0.605847245472495
none,Central_silage,om,2.6400000000000006,2.4354501137837214,cc - no,0.2045498862162793,0.2511872812830035,0.4292622581252673
none,East_grain,om,3.575000000000003,3.6750000000000025,cc - no,-0.09999999999999984,0.25372159566565394,0.6998588116018842
none,West_grain,om,2.750000000000006,2.975000000000004,cc - no,-0.22499999999999792,0.2537215956656539,0.3912644129650129
sand,Central_grain,om,3.0341715482533624,3.0663862880755883,cc - no,-0.032214739822225766,0.26629450410973826,0.9046416198569864
sand,Central_silage,om,3.049131400425434,2.771576032974022,cc - no,0.27755536745141185,0.2826658837557918,0.3351885757245078
sand,East_grain,om,2.290252384624961,2.1051484499053825,cc - no,0.18510393471957842,0.30140879322567027,0.5444667481170335
sand,West_grain,om,3.228017068753422,2.967894517799218,cc - no,0.2601225509542038,0.30917810254571143,0.40783172060850004
